Blood Status,Bravery,Intelligence,Loyalty,Ambition,Dark Arts Knowledge,Quidditch Skills,Dueling Skills,Creativity,House
Pure-blood,,,,,7.0,,8.0,,
Muggle-born,3.0,7.0,6.0,2.0,5.0,3.0,3.0,10.0,Ravenclaw
,,,,,,,,,
Muggle-born,2.0,9.0,1.0,2.0,3.0,0.0,5.0,8.0,Ravenclaw
,,,9.0,2.0,,1.0,,,
,,,,,,,,,
,,,,2.0,,,,,Ravenclaw
Pure-blood,8.0,2.0,5.0,3.0,4.0,6.0,7.0,7.0,Gryffindor
Pure-blood,7.530623626713696,45.83457487280869,31.374254483671777,36.640507505026996,1.2174574328793888,6.758000184350933,42.90121722923186,2.0737193076156726,Hufflepuff
Pure-blood,5.0,4.0,7.0,5.0,2.0,7.0,2.0,2.0,Hufflepuff
Muggle-born,5.0,5.0,7.0,3.0,4.0,5.0,6.0,4.0,Hufflepuff
Half-blood,4.0,7.0,7.0,3.0,1.0,1.0,5.0,1.0,Hufflepuff
Half-blood,14.921989926550275,17.921937022640318,28.685399813014413,56.35470343666475,26.5218099219354,10.58548791395083,65.08505617050383,6.430965601421461,Hufflepuff
Muggle-born,77.80113927237413,38.57541627735237,14.184526046406692,17.358793724103702,0.0,13.512820983378004,73.76886844544225,21.981987950854858,Gryffindor
,6.0,,,,,,,,
Muggle-born,7.0,7.0,4.0,9.0,10.0,6.0,7.0,3.0,Slytherin
Half-blood,17.735993157942055,15.237422361567269,14.683442779128415,29.882897000836657,18.235049274778234,23.63301006121235,24.68067117122918,1.388304875091121,Gryffindor
Muggle-born,1.6627172788220665,13.34505878090091,10.589021942127887,10.66046752084727,6.115837033558876,49.544073367097155,66.34560691820673,19.20639892866281,Gryffindor
Half-blood,7.0,7.0,3.0,3.0,5.0,2.0,2.0,7.0,Ravenclaw
Muggle-born,6.0,2.0,7.0,6.0,4.0,4.0,3.0,4.0,Hufflepuff
,,,,,,,,,
Muggle-born,1.0,1.0,8.0,7.0,4.0,3.0,3.0,5.0,Hufflepuff
Pure-blood,49.64859464310868,25.176591821975393,25.060104755599045,85.20361212458461,58.62250917872192,50.27706927035332,51.22722481660547,9.887924707700886,Slytherin
Pure-blood,38.28632418711721,25.631992431903754,6.710336002705129,17.65630888818709,4.750086217925423,8.075049111317702,8.058687650346682,25.524853665514353,Ravenclaw
Half-blood,,,5.0,,,,,,
Muggle-born,1.1233834452155989,55.46807321645653,18.372629174997996,14.309533985380819,9.450662272392258,13.500743708057062,4.683236419309045,57.64845341643799,Ravenclaw
Pure-blood,24.29169977868661,8.97624244281765,44.9821415358737,15.730045221366098,44.933544694940714,0.0,26.357886005295608,14.08292759382533,Ravenclaw
Pure-blood,,,,,,,,,Hufflepuff
Half-blood,12.991702130055868,21.27979078976969,20.382642560244427,43.911595282533355,2.4079774022883695,47.39439308474519,41.98637071796506,6.278894519289301,Slytherin
Half-blood,1.0,7.0,4.0,10.0,8.0,10.0,7.0,2.0,Slytherin
Pure-blood,4.0,3.0,9.0,1.0,2.0,7.0,5.0,4.0,Hufflepuff
Pure-blood,16.25030707327071,31.027822633155363,43.558900119727305,26.443060257157214,0.0,0.0,1.617734918133022,8.617883680773108,Hufflepuff
Muggle-born,3.9278800340386484,65.45422081149405,5.605098483303047,17.00268437338335,2.8157656014118224,6.228197314862644,45.0505711943056,6.9877014704374725,Slytherin
,,,,,,,,,
,9.0,,,,1.0,,,2.0,
,,,,,,,,7.0,
,,,,,,,,,
Muggle-born,2.0,10.0,7.0,6.0,5.0,2.0,2.0,8.0,Ravenclaw
Pure-blood,15.811743841347608,42.042738504686696,3.3785011420861877,8.20705609051464,0.0,8.926138713873275,7.501169784168006,27.656173802313482,Ravenclaw
Muggle-born,26.066382286036216,13.422186084401257,4.500362632630914,74.91588945393943,82.44761578126426,20.06967009765809,69.88371422684894,22.800328277662267,Slytherin
Pure-blood,16.31152404930176,9.63143008860153,48.74953826299009,28.48098747177273,7.616416458960925,1.482716997462048,17.89113206184352,44.6337741088723,Ravenclaw
,,,9.0,,,4.0,,,Hufflepuff
Half-blood,5.0,6.0,3.0,10.0,7.0,9.0,8.0,7.0,Slytherin
Muggle-born,7.0,3.0,8.0,5.0,1.0,5.0,1.0,4.0,Hufflepuff
Muggle-born,66.1510522596735,77.12452834576118,7.648957674861668,15.485873435870177,14.806566747865995,0.0,18.88881571716817,8.637765775052074,Ravenclaw
Half-blood,1.2288721420533306,53.92436845208293,47.147609220815056,12.67547001308817,8.161474299312495,0.0,44.79349344126886,22.701729424456122,Ravenclaw
,,,,,,,,,
Muggle-born,3.0,10.0,3.0,4.0,1.0,3.0,6.0,8.0,Ravenclaw
Pure-blood,12.855689514817366,67.52264010870866,37.64418256098972,15.266686400852775,33.694143332008395,16.053144852520024,32.745256639813825,8.718270853517227,Ravenclaw
Muggle-born,6.0,10.0,4.0,5.0,4.0,3.0,3.0,8.0,Ravenclaw
Muggle-born,7.78791147291737,95.14861482069058,13.457546984209388,53.741649361079,0.8172834434545893,1.2839031624103825,11.775094642306353,72.90015431349266,Ravenclaw
Half-blood,27.79269731715317,16.17480046671328,75.99875284688883,6.7861870876777095,17.391248396256543,2.6361385457675315,8.227401170191834,32.75898429142598,Hufflepuff
,,,,2.0,,,3.0,,
,,,,,,,,,
Muggle-born,8.0,4.0,6.0,5.0,1.0,6.0,10.0,7.0,Gryffindor
Half-blood,57.900919182900395,26.18133547187061,38.09642170784559,30.12562286441269,1.688158946207854,3.924528482569138,8.415133417300172,23.692912997290755,Gryffindor
,4.0,,,,,,,,
,,,,,,,,,
Half-blood,13.517118663113287,74.74463071783342,2.2070160279112687,4.690660632383722,21.948450427306064,1.882393272428017,20.07683528543325,76.4830758855409,Ravenclaw
Muggle-born,23.976893062096686,26.09768653041181,37.69991065233248,64.60417711769583,33.92463212867319,48.74479610962598,39.85864773249937,18.51180624942891,Slytherin
Muggle-born,7.0,1.0,8.0,1.0,1.0,0.0,7.0,5.0,Hufflepuff
,,,,,,,,,
Muggle-born,2.316238973779556,25.563167162640617,3.6815041056595237,17.081535840676512,37.80197640891173,4.011019854856881,6.455272229348116,90.40344054589539,Ravenclaw
Muggle-born,5.05461872011242,35.294389131837335,70.88656680156608,11.50341383236497,0.0,32.80020928376084,5.962769827360857,3.200831538106346,Hufflepuff
Muggle-born,6.0,6.0,4.0,9.0,9.0,5.0,10.0,5.0,Slytherin
Half-blood,46.835602500564285,25.64242287573805,8.737201623948387,16.341651455825165,24.26593687490099,6.731354946048544,42.03041334018019,18.096175491147545,Gryffindor
Pure-blood,1.0,2.0,5.0,8.0,10.0,8.0,8.0,3.0,Slytherin
